ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
998020,tt20772720,0,[],[],0,0,Piers Garland
998050,tt15788054,0,['Twin Freaks Studio S.C.'],[],0,0,Pedro J. Poveda
998054,,20,['Aula 37 Media'],['Mexico'],0,19,Alexis Castillo
998056,tt21241934,0,[],['United Kingdom'],0,90,Nathan Cunningham
998088,,0,['Allmitra Talkies'],[],0,91,Reema Borah
998091,tt21234742,500,[],['United States of America'],0,7,Nora Marris
998092,tt22170224,0,['Star Cinema – ABS-CBN Film Productions'],['Philippines'],0,121,Coco Martin
998093,tt25147662,0,['Rein Entertainment Productions'],['Philippines'],0,124,Shugo Praico
998094,tt22178922,0,"['Star Cinema – ABS-CBN Film Productions', 'Viva Films']",['Philippines'],0,109,Cathy Garcia-Molina
998095,tt25147606,0,"['Ten17p', 'TinCan Productions']",['Philippines'],0,114,Paul Soriano
998134,tt17719794,0,"['Culture Forward Media Group', 'Culture Forward TV']",[],0,40,Alex West
998160,tt19829940,0,[],['United States of America'],0,68,Sonja Wolf
998191,,0,[],[],0,95,
998205,tt21046786,0,['BBC'],[],0,49,
998217,,0,[],['South Korea'],0,87,Lee Si-young
998233,,100,"[""Griffin's Lobotomy Productions""]",['United States of America'],0,39,Sam Mollineaux
998253,,0,[],['Portugal'],0,4,Daniele Grosso
998260,,0,[],['France'],0,7,Léa Morelli
998269,tt9545516,0,"['Tiger Darling', 'Broadcasting Authority of Ireland', 'RTÉ', 'Screen Ireland']",[],0,92,Michael Kinirons
998272,tt22804502,0,['Providence Films'],['France'],0,96,Robert Coudray
998276,tt21048872,0,"['Emoji Films', 'Babushaan Films']",['India'],0,142,Tapas Sargharia
998282,tt21277532,0,['Viva Films'],['Philippines'],0,88,Bobby Bonifacio
998329,,0,[],['Finland'],0,107,Marikki Hakola
998342,tt18926326,0,"['Kyushu Asahi Broadcasting Co., Ltd.']",['Japan'],0,50,Ryo Shimazoe
998353,,0,[],['United States of America'],0,18,Andrew Stephen Lee
998358,,0,['ToughPigs'],[],0,7,
998364,tt21632552,0,['Valk Productions'],['Netherlands'],0,29,Douwe Dijkstra
998378,,0,[],[],0,0,
998381,,0,['To whom it may concern.'],['Sweden'],0,43,Jonna Lee
998385,tt20240746,0,[],[],0,60,
998387,,0,[],[],0,5,Arya A T
998388,,0,[],[],0,3,Peter Falloon
998404,,0,[],[],0,40,
998412,tt23183952,0,['Sister Productions'],['France'],0,74,Maylis Dartigue
998413,,0,[],[],0,0,
998438,tt21159346,0,[],['Canada'],0,97,Paul Chotel
998441,tt20724756,0,['White Productions'],['Tanzania'],0,82,Martin White
998442,tt18951396,0,[],[],0,96,Leigh Bloomfield
